Q	A	label
그림,게임,공부,머리,오늘	그림도 안 그려지고 게임도 잘 안 풀리고 공부도 머리에 안 들어오고 오늘따라 힘들어	0
한편,미안,복잡,불안	한편으로는 미안하고 복잡하고 불안하고 그렇네..ㅋㅋㅋ..	0
검사,어캐,정상	검사 받고 기다리기 귀찮은데 어캐 해야지 정상인척 하지	0
사진,찍기	사진찍기 너무 어렵다	0
익명,호감,정상,생각	솔까 익명으로 호감 드러내는게 정상이라고 생각해?	0
이건,인연	왜 이렇게 힘든걸까 이건 옳은 인연이 아닌거 같아	0
여기,폭발	왜 여기만 오면 폭발하게 될까	0
내용,공감,수국	내용에 공감은 안가지만 흰수국은 좋아 	0
시간,낭비	시간낭비 하지 말아야지	0
불공평,불공평	불공평도 이런 불공평이 없다	0
누워서,안아프고	누워서놀자니 그렇게까지 안아프고	0
속,질림	속이 뻔히 보여서 질림	0
꾸역꾸역,사랑	꾸역꾸역 사랑 아닌줄 알면서도 참으면서말이야 	0
불안도,습관,중독	불안도 습관이야 중독이고 	0
말,조심,하라	말 조심 쫌 하자	0
어차피,인생,혼자	어차피 인생은 혼자다	0
이상한	그건 이상한거야 받아들일 수 없는거야	0
지금,머릿속,소리,세상,목소리,목소리,구분,대화	지금 내 머릿속에서 울리는 소리가 세상의 목소리인지 내 목소리인지 구분하기 위해 나와 대화한다	0
씁스름,생각,정반대,맛	개달어 씁스름할거라 생각했는데 정반대의 맛이네요	0
아작,차라리,방울토마토	위 아작 날듯...차라리 방울토마토 싸가지구 댕길까..ㅠㅠ	0
애비,지성,화농,여드름,씨발	하...애비년이 물려준 좆같은 지성 화농성 여드름 씨발련	0
생각,동시,혼자,취미,생각,공존	라는 생각과 동시에 혼자 취미에 돈쓰고 살고싶다는 생각이 공존해요	0
씨발,저기,그게,씨발,실화,어이,비상문,딸때,사람	씨발 내가 저기요 그게 제건데.... 하는데 나가버림 씨발 실화냐? 나가면 되긴한데 ㄹㅇ어이가업네 비상문딸때 사람들 다쳐다보는데 개싫다...	0
빨리,방청소,나가	빨리 방청소하고 씻고 나가	0
씨발,살기	씨발 살기가 너무싫다	0
응애,바퀴,그동안,사진,실물	응애바퀴였는데 또 나올까봐 못가겠다 그동안 사진으로 많이 단련했는데 실물보니까 다 소용없어지더라...	0
전국,인기,라면,순위,티비,여기저기,진라면,판매,실적,농심	전국인기라면 순위 ㅇㅇ 티비에 여기저기 진라면 나와서 판매실적좀 좋을줄알았는데 아직 농심에 비빌정돈 아닌가봄	0
수능,끝	수능 끝나고 논다!!!!!!	0
이이,왤케	잉이이어ㅣ어ㅣㅓㅣ애들아 너네 왤케 귀여워 ㅠㅠㅠㅠ	0
한번,보고	한번쯤은 해 보고 싶어	0
하루하루,의미,병신	하루하루를 의미 없이 살아가고 있는 난 병신이야	0
대해,사람,이제	너만큼 나에 대해 아는 사람도 없다 이제	0
아아,개꿀	아 잘잤네ㅋㅋㅋㅋ 아아ㅏㅏ개꿀이야ㅑㅑ	0
많이,토	많이 안먹었는데 왜 토했지	0
미워,일	니가 미워지는 일..	0
나,너무나,잔인	나는 나에게 너무나도 잔인해	0
더,사랑	더 많이, 많이, 많이, 사랑해요	0
잠,최고	잠이 최고지 암암	0
컴터,수업,기분	컴터가 수업 듣게 하고 나는 집에서 자는 기분이네	0
엄마,집,수업시간,딴짓,눈치	엄마 집에 오면 수업시간인데 딴짓 한다고 뭐라할까바 눈치보여	0
자기,상처,상처,아이야,지금,사랑	안하던짓을 하는거보니 자기를 상처입혀가며 남에게 상처입히는걸보니 많이 힘들구나 괜찮다 아이야 나는 너가 엇나가더라도 지금처럼 사랑하마	0
이제,우리	이제는 낡아버린 우리의 봄을 사가세요	0
나,자고,먹고	나 이제 자고 먹고 놀거야 응 잘거야	0
씨발,진짜,작작,소리,제발,목소리,듣기	진짜 작작 소리지르세요 제발좀 닥쳐주세요 목소리 듣기싫어요	0
앰생,망할	내가 앰생인건 알겠는데...하..망할	0
언제,바보	나는 언제부터 바보가되었을까	0
그냥,식욕,살,피곤	그냥 식욕 없는 김에 살이나 뺄까 피곤하네	0
빈츠	빈츠는 못참지 ㅎ	0
손길,가끔,눈길	손길도 좋지만 가끔은 눈길이 더 좋아	0
그냥,가만히	그냥 나를 가만히 있게해주세요 난 그거면 돼 	0
내겐,환멸	내겐 환멸이란 그런것들뿐이다	0
그리워,사람	그리워할 사람만 늘어날뿐 	0
감내,대상	감내할 대상들만 있을뿐이다	0
오늘이,결전,날	오늘이 결전의 날이구나	0
엄마	엄마가 해주는 거	0
주변,이성친구,한명,성욕,진짜	나는 주변에 이성 친구 한명도 없으면서 성욕은 진짜 패고싶다	0
광어,연어,계란	광어 연어 계란ㅠㅠ	0
병원,약	병원가서 약 받아옴 ㅠㅠ	0
경계심,사람,사람	경계심 많은 사람 길들여 줄 그런 사람 있었으면	0
몇번,실패,성공,상황	몇번을 실패해야 겨우 성공할지 몰라 아픈 상황이네	0
손길,몸,머리,손길,순간,정말,긴장,일	그런데 다가오는 손길은 몸을 움추리게 해 쉽지 않다 가만히 머리를 들이밀고 손길을 기다리는 그 짧은 순간이 나에게는 정말 긴장되는 일이구나	0
처음,마음,긴장상태,다시,시작	처음 마음에 긴장상태로 다시 시작하는거야	0
트라우마	이게 트라우마구나	0
길,고양이,집,개냥이	오랫동안 길에서 산 고양이는 집에 들여놔도 개냥이가 될 수는 없는걸까	0
자랑,사람,준비,모솔,구라	자랑좀 하자면요 좋다는 사람도 많앗고 할려면 할수잇을것같은데요 제가 아직 준비가 안됐어요 그래서 모솔이에여 예..구라맞아요 사실못한거예요,,	0
누구,얘기,공중,뚜껑,유골함,뼛가루	상관없지 머 ㅎㅎ 누구도 모르는 얘기 공중에 퍼지기라도 했으면 뚜껑 열린 유골함에서 뼛가루가 쏟아지듯이	0
주변,비롯,별로,전형적,한국인	음 내 주변은 나를 비롯해 별로 좋지 않은 거 같아 전형적인 한국인이니까	0
가족,최고	가족들이랑 하는 게 최고	0
나,관찰	난 나를 관찰하고 싶어서 풀어놓은거야	0
하루,시작	하루를 시작할거야ㅋㅋㅋ	0
무엇,예전,욕,비난,비판	무엇을 하던 예전처럼 욕을 하더라도 비난하지 않고 비판하기	0
조금,위로	조금은 위로하면서 살고싶다	0
나,사랑	쭉 보니까 난 나에게 사랑받아야 해	0
생명,존중	생명을 존중하고 귀하게 여길 줄 알게 되어서	0
젤리,유언,체온,기억,생명,존중	젤리를 받았어 유언이지 내 체온을 기억해줘 내 삶을 생명을 존중한다면 신이 거둘때까지 살아	0
자체,학대	그 자체가 학대이지 않을까	0
여기,입사,얼마,회사	그러나 여기까지 왔어 입사한지 얼마 안 된 회사에	0
위로,연령,지금,친구	버텨낼 그리고 위로할 수 있는 연령이 아니지 지금이라면 그 친구들도 많이 성장했겠지만	0
병신,진짜	내가 병신이었음 진짜	0
정말,감정,사랑	정말 감정을 죽이지 않으면 버틸 수가 없고 나에 대한 사랑을 버리지 않으면 살아갈 수가 없다	0
고통,유일,아이디어	고통을 통해 유일한 아이디어를 가질 수 있다는 것	0
누가,생각	누가 생각이란걸 하고살고싶을까 	0
대신,남	대신 남을 팔진 않아	0
답,감정,어디	답이 없어 나는 움직여야하고 그러기 위해선 감정도 어디론가 보내버려야 해	0
마음,재수,생각	마음접고 재수 어떻게 할지나 생각해	0
점점,지난번	점점 괜찮아진다고 믿어 지난번보단 심하지 않아	0
존경,부분	존경스러운 부분도 있어 	0
세상,제일	너가 너무 너무 좋아 세상에서 제일	0
소문,무성,아무,진전,생각	소문만 무성하고 아무 진전 없을 때 이런저런 생각 다 해봤어	0
동묘,시장,자신	동묘든 시장이든 잘 골라 난 자신있음	0
허세,비닐봉투	이것도 허세면 나 비닐봉투 입고 다닐까?	0
빚,경매	빚은 없어 경매 들어가서 다 털렸어..	0
인연	이런게 인연인가..	0
다시,고백	내가 다시는 고백하나봐라	0
길,맨날,중얼중얼,이제	  길 가면서 맨날 나도 모르게 중얼중얼거리는거 이제 좀 사라지겠지..	0
일부러,다른,사람,대화,정말,끝,무시	일부러 다른 사람이랑 대화도하고 있다고 티냈는데  정말 끝까지 무시하는구나...	0
좀더,존재감,사람	내가 좀더 존재감 있는 사람이였다면  이렇게 슬프지는 않았을텐데	0
수능,친구	수능끝나고 친구랑 논다아아아	0
이제,뭐	이제 나는 뭐하고 살까	0
어디,쓰레기,자체	어디에도 속하지 못하게되네  쓰레기 그 자체	0
소중,사람	소중했던 사람이 되기를	0
사람	나도 좋은사람 생겼으면 좋겠네	0
집중력,에바	집중력 에바야 ㅜㅜ	0
친구,원래,왤케,요즘	친구 없는거 원래 괜찮았었는데 왤케 힘들지 요즘	0
이미,서른,그냥	이미 늦었고 서른 되기전에 그냥 죽고싶다	0
내일,학교,공부	내일은 학교에서 공부할거야	0
확신,사람	확신하지 못해 어떤 사람인지	0
커터칼,사람,목,꿈,뭔가	커터칼로 그 사람 목 찔러 죽이는 꿈이었는데 뭔가 미안하기도 하고	0
우울,신경,글	우울하다는둥 신경 거슬리는 글이나 쓰고 개질림 	0
드레스,뭐	드레스말고 또 뭐사지	0
멘탈,공부,정시,성공	나는 부지런하다. 나는 멘탈이강하다. 나는 공부할것이다. 나는 정시로 성공할것이다. 나는 할수있다..	0
무시,대학,무시,생각,짜증	안그래도 남무시 잘하는데 대학 잘가서 더 무시할거 생각하니 짜증나네	0
스무살,애,왜	너 스무살이냐고 ㅎㅎ 애같대 ... 왜 이렇게 됐지	0
돈,코스프레,굿즈	돈 모아서 코스프레도하고 굿즈도사야지	0
대답	이래도 대답은 없겠지만	0
조용	나는 이렇게나 조용한걸	0
물귀신,고립,성격장애	나를 털어놓으면 물귀신 고립시키면 성격장애 어쩌지	0
가끔,어쩌면,생각,고민	가끔 뭘 좋아하는지 잊어 어쩌면 나에 대해 생각하고 고민하는게 귀찮아	0
사람,행복,말	나는 이러니까 이런 사람이니까 앞으로도 이렇게 살면 행복하다고 나에게 말해줄거야	0
왜,손바닥,기분	왜 손바닥 뒤집듯이 기분이 뒤집혀요	0
그게,이유,하나	그게 끊고싶은 큰이유중 하나임	0
메모장	메모장에 쓰던지해야지	0
머리,생각,모두,회색분자,나쁜놈	머리 아프고 싶지않다 나쁘게 생각해도 좋아 모두가 회색분자인걸 난 평범한 나쁜놈이야	0
하늘	하늘이 무섭지도 않아?	0
게임,현질,끝	게임 좀 줄여야지 현질이 끝이 없어	0
눈,짝짝이,인형,구경,전부	가봤자 눈 짝짝이 달린 인형들 구경이 전부지만	0
위장,위해	하지만 위장을 줄이기 위해 참을거야	0
지랄,안경	지랄하지말거 안경이나 끼래 ㅜㅜ	0
급식,흰색,남자	급식때도 흰색 예뻐보였는데 남자가입는게 더 예쁜거가틈	0
그게,인생,전부,고도	그게 내 인생의 전부일테지	0
그것,일출,일몰,비,먹빛,불쾌,계속,오리,백로,발견	그것이 일출과 일몰이 아닌 비도 내리지 못하는 우중충한 먹빛이라도 불쾌하지만 계속 기다리고 봐 스쳐가는 오리나 백로를 발견하지는 않을까	0
다른,한숨,모래폭풍,일어,희망이,종말,스스로,애도,끝,자축	다른 이들 내쉰 한숨으로 모래폭풍이 일어도 가라앉기를 기다려 희망이 아닌 이 삶의 종말을 스스로 애도하기 위하여 끝을 자축하기 위하여	0
삶,주시	내 삶을 주시하는걸	0
잿더미,싹,다음,계절,기대	잿더미 속에서도 싹을 틔워줘 내가 다음 계절을 기대할 수 있게 해줘	0
길,끝	이 길 끝까지 걸어 갈거야~	0
바위,벌판,숫사자,어디,허망	바위에 올라서서 메마른 벌판을 바라보는 어린 숫사자 어디로 가야할지 어떻게 해야할지 몰라 허망한	0
상황,정말	그 상황에서는 정말 잘한거다	0
역시,과정,결과	역시 난 과정보다는 결과야	0
사실,계속,유혹	내가 싫다는 변하지 않는 사실도 괜찮은건가 나를 이렇게 계속 유혹하다 보면 이런 내가 좋아질까	0
역시,비용,필수불가결	역시 비용은 필수불가결이구나	0
저녁,소박,라면	오늘 저녁 소박하게 라면 하나	0
목걸이,저가,기분,몸,주렁주렁	이 목걸이 저가로 기분내기 좋아 몸에 주렁주렁 차고 싶어	0
매력,여자,사실,거울,조금,얼굴,스타일	나에게 매력적으로 보이는 여자 사실 거울 볼 때 조금 흡족해 내 얼굴이 내 스타일이야 ㅎㅎ	0
기분,위해,유혹	내 기분을 위해 힘쓰는 것은 내가 나를 더 좋아할 수 있게 유혹하는 것일까	0
기분,영양제,비누,향,기분	기분이 좋은건 좋아 좋아하는 영양제를 먹고 좋아하는 비누를 쓰고 좋아하는 향을 맡아 기분이 좋은건 좋아	0
원망,누구,마음대로,관심,신경	원망스러워 누구 마음대로 기대하고 실망하래 끝까지 나한테 관심끄고 신경도 쓰지말지	0
사람,기대,거품,정말	사람들이 기대하게 혹하게 만드는 거품뿐이야 정말	0
사랑,사람	날 사랑해줄 수 있는 사람	0
학습,이상,이하	그건 학습 그 이상 그 이하도 아닐거야	0
사랑,사람,품	둘 다 죽는거라면 사랑하는 사람 품에서 죽을래	0
우울증,재발	우울증 또 재발한다는거	0
사랑	사랑받고 싶어	0
사랑,몸,집착,무정	결국 나에 대한 사랑도 버리고 내 몸에 대한 집착도 버리고 무정만 남긴걸까	0
감상,공상,일기	감상으로 그 자릴 채워 공상으로 일기를 써	0
멀리,생각	멀리서 내가 생각해도 참 좆같다	0
고통,호소	고통도 호소하면 안되냐고	0
마음,사람,온도	내 마음은 사람의 온도가 아닌 거 같아	0
사랑,사람	나를 사랑해주는 사람에게	0
모든,상처,흔적	네가 날 아프게 할까봐 내 모든 상처의 흔적들이 예민해졌어	0
조금	빨리 사라져줄게 조금만 기다려 	0
시도,말씀,종교,전파,사람	시도때도없이 좋은말씀 전하러 집 문 두들기는 종교전파자같은 사람들 싫어 	0
성향	너 내 성향임 .... ㅎ	0
저건,진짜,존나,존나,큰일	저건 깨지면 진짜 존나존나 큰일이거든 ㅋ	0
진짜,끙끙	몰라 진짜 끙끙 앓게만들어 	0
맨눈,과제	맨눈으로 과제해본다	0
시바,고슴도치,새끼	개시바 고슴도치도 지새끼 이뿌다더니	0
지금	지금 많이 즐겨놓자	0
감정	나는 이 감정이 너무 부끄러워서 결국은 숨어버릴거야 	0
선명,그날	너무 선명해서 꼭 그날들만 깨어있던거같다 	0
돈,대여	필요할때마다 돈주고 대여해 싸게 빌려줄게 	0
먼지	난 먼지만도 못하다 	0
사실,이건,과장,오십분,한번	사실 이건 과장이고 오십분에 한번정도.. ㅎㅎ	0
변명	근데 변명이네 결국 	0
사실	사실은 그런짓을 했음 이미 	0
배,인간	배가 처부른 인간	0
이유	이유없이 다 짓밟혀버릴것들인데 	0
삶,계란	삶은 계란이다.. 	0
과거,연애,사랑,내면,상처,숨기,비밀리,감정,언제,그것,전시,과시	과거에는 연애도 사랑도 내면에 상처도 숨기고 비밀리에 감정을 품곤 했지만 언제부턴가는 그것들을 다 전시하고 과시하며 보여주고싶어한다 	0
느끼,분위기	느끼하게 분위기 잡잖아	0
엄마,존나,둘째오빠	엄마 속 존나썩이는 둘째오빠같이 생겻어	0
잠,눈,피곤	잠잤는데 눈이 막 엄청 무겁고 피곤해	0
사람,때문,가슴	그사람 때문에 가슴이 너무 시려	0
오빠,대가리,왜	오빠 근데 대가리는 왜깨젓어??	0
손바닥,칼,피,질질	ㅋㅋ손바닥을 칼로 베냐 피 질질흐르네	0
그게,사랑,사랑,병신	그게 사랑이지 뭐가 사랑이냐 내가 병신맞네	0
시발,쌀,오일동안,케이크,선	시발 쌀 오일동안 못처머것는데 케이크 먹어대는건 선넘엇지	0
겨우,사람	내가 겨우 그저 그런 사람이라는 걸 말이야	0
돼지고기,소고기	돼지고기 소고기도 먹고싶어	0
투썸,한판,다머	투썸이었으면 한판 다머것다 ㅋㅋ	0
여자,존재,목적,남자	여자 존재목적아님? 남자 꼴리게해주는거	0
취향,제대로,딸케,치케,티라미수	그래도 취향은 제대로댐 딸케 치케 티라미수 조아하니깐	0
노력,오빠,사랑	노력중임 ㅜㅜ 아멀라 오빠사랑해	0
여친,담배,이해,꼰대선비	여친이 담배피는것도 이해하기시른 꼰대선비님이면서 ㅡ ㅡ	0
재미,물리학자,아내,놀이	재미없다 물리학자 아내 놀이 안할래 다른거 할래	0
창피해,오빠	뒤늦게 창피해졌어 오빠가 다볼텐데	0
칭찬,과제	아니다 칭찬받게 과제하고 자야지	0
뭐좀,심심	심심해서 디지겠음  뭐좀 하고싶은데 귀찮고 왜이리 심심 ㅡㅡ	0
옮을까바,오빠,손,도망	너무 저급하고 더러워서 드러움 옮을까바 오빠손잡고 도망쳐버렸어	0
진짜,실수,투성이,병신	진짜 실수투성이 병신같아	0
역시,혐오,재밋음	역시 혐오할건 많을수록 재밋음	0
애초,인간,선,허구	애초에 인간이 어떻게 선해 허구아님?	0
친구,가족,편지,한번,박아	친구들이나 가족이 주는 편지는 죄다 한번읽고 어다 처박아서 잃어버린거보면	0
편지지,그때,감정,기분,살랑	낯간지러워서 읽어보진않지만 편지지를 보는 것만으로도 그때의 감정이 살아나 기분이 살랑 뜨게 돼	0
옆애,평생,오소리	내옆애서 평생 미오소리 들어라	0
오빠,오빠,말,답	오빠는 똑똑하고 늘 옳으니까 오빠가 하는 말이 답이 맞겠지	0
질질,진작,먼저	질질끌지말고 진작 내가먼저 버릴걸	0
오빠,보기,진짜	오빠가 보기에도 그럴까? 안그랬음 좋겠어 진짜인데	0
행복,연락	그래도 행복한 연락 와있어서 좋다	0
옛날,조용,연못,정신병자,수용소	옛날엔 조용한 연못가 같은 곳이었는데 이젠 정신병자 수용소가 되버렸네 	0
과거,꿈	과거랑 꿈이랑 뭐가 다르지 	0
연인,사이,고통,이지	헤어질 걸 알면서도 만나는 연인 사이가 고통이지요 	0
오늘,아무일,오늘	오늘은 아무일없기를 오늘은 무사히 지나가기를	0
얼굴,사람	내 얼굴 좋아하는 사람 많으니까 싫으면 꺼져	0
억측,오해,필요,그냥,인간,자체	억측으로 오해할 필요도 없이 그냥 인간 자체가 ㄴㄴ	0
관찰,소설,의심,지랄,염병,누구	관찰하고 소설쓰고 의심하고 지랄염병 떤 게 누구더라	0
사과	이 사과도 필요할 것 같다	0
그냥,말	그냥 고마웠어 이 말밖에 못해주네	0
감히,이해	감히 이해할수없으니깐 	0
행복,정말	행복빌게 정말..	0
쓰레기,더미,인생,얼마나,분투,구경	좆같은 쓰레기 더미에서 어떻게든 내 인생을 구해내려고 얼마나 분투했는데, 니가 그걸 망치는걸 내가 구경만 할 거 같아?	0
새벽,자살,생각,언제,기억	새벽에 자살 생각을 안 해본 게 언제인지 기억도 안 난다	0
권력,투쟁,무관,입장,라면,비용,조명	당연히 권력 투쟁과는 무관하게 정당한 입장이라면 아무런 비용없이 정당하게 조명되는 것이 올바른 것이다	0
모두,행복,굿나잇	모두 행복해 굿나잇	0
내일,불안	내일은 외롭고 불안해해야지	0
잠,통화,말	잠 잘자라고 통화도 했으니까 말 잘드러야징	0
생각,눈물	생각하니까 슬퍼서 눈물이 많이 나버렸어	0
사랑,형편,스스로,힘	니가하는 사랑도 형편없어서 그래서 너 스스로도 힘이들겠지	0
다른,사람,보이지,정도,거리,공포	다른 사람이 보이지 않을 정도로 가까운 거리에서 난 공포를 느껴	0
정도,거리,바늘	그 정도 거리에서는 바늘을 꽂을 수 없다는 걸 알아서	0
잠도,시험,집중	잠도오고 살은안빠지고 시험은2주남았는데 집중도안되고	0
상처,오빠,대해	너무 상처라 오빠를 어떻게 대해야할지 모르겠어	0
미안	그래도 잠은 못자 미안	0
제발	안아줘 제발 그렇지 않으면 난 죽을 것 같아	0
그냥,손끝,대고	그냥 손끝을 대고 있을 수 밖에	0
진짜,방법	난 진짜 피할 방법이 없어 너한테 닿을 수 밖에	0
전부	너에게 이렇게 화를 내는게 전부야 나는	0
씨발,지랄,새끼,사람	저두씨발련이지랄안하면 좆같은 애새끼가 쳐울면서 뛰어다니고 돌아가면서 사람 돌게하네  이 애미뒤진개련들을 어떻게 죽여버리지	0
친한친구	친한친구가생긴거같은데...잘모르겠다	0
엠창,인생	엠창인생ㅁㅌㅊ??	0
초등학생,생각,시발	초등학생때부터 늘 들던 생각이다 시발	0
증거,인간,제일,개새끼	증거도 없는데 몰아가는 인간이 제일 개새끼야	0
시발,언제	아 시발 쟤 언제뒤지냐	0
예정,회사,용돈,선물,여행가,려고,국물,개년	예정대로면 조용히 회사들어가서 용돈보내주고 선물보내주고 여행가려고했는데 닌 국물도 없다 개년아	0
존나,혼자,대화,아예,닥치고	존나 지 혼자 씨부리는게 대화냐? 아예 닥치고 내말이나 들어 라고 말해라 걍 ㅋㅋㅋㄱㅋ	0
사람,사람,람보	사람때린사람이 맞은사람보고 왜 화내냐급이네	0
다른사람,사람	다른사람에게는 똑같은 사람이겠지 나도	0
어디,요양,가세	어디 요양이라도 가세요	0
시발	아 시발~~~~~	0
사이버,경찰대,정신병원,가세,아줌마,실제	사이버 경찰대 : 정신병원가세요 아줌마(실제로 한 말)	0
